Date,Open,High,Low,Close,Adj Close,Volume
2016-12-20,8262.339844,8301.719727,8179.830078,8236.440430,8236.440430,0
2016-12-21,8236.580078,8319.440430,8213.839844,8280.089844,8280.089844,0
2016-12-22,8280.089844,8313.809570,8214.389648,8303.230469,8303.230469,0
2016-12-23,8303.230469,8361.620117,8294.629883,8342.339844,8342.339844,0
2016-12-26,null,null,null,null,null,null
2016-12-27,8412.629883,8473.179688,8407.639648,8459.049805,8459.049805,0
2016-12-28,8458.990234,8582.129883,8458.990234,8567.179688,8567.179688,0
2016-12-29,8567.280273,8664.379883,8491.639648,8654.700195,8654.700195,0
2017-01-02,null,null,null,null,null,null
2017-01-03,8593.700195,8840.179688,8593.700195,8839.919922,8839.919922,0
2017-01-04,8838.879883,8869.719727,8777.070313,8812.759766,8812.759766,0
2017-01-05,8814.519531,8871.870117,8805.240234,8817.610352,8817.610352,0
2017-01-06,8817.790039,8817.790039,8688.669922,8728.570313,8728.570313,0
2017-01-09,8728.730469,8788.469727,8694.700195,8736.269531,8736.269531,0
2017-01-10,8739.700195,8808.209961,8731.860352,8755.219727,8755.219727,0
2017-01-11,8755.219727,8812.509766,8654.059570,8738.349609,8738.349609,0
2017-01-12,8738.969727,9006.599609,8738.969727,8963.299805,8963.299805,0
2017-01-13,8956.610352,8995.839844,8873.339844,8908.860352,8908.860352,0
2017-01-16,8908.860352,8923.160156,8868.610352,8900.040039,8900.040039,0
2017-01-17,8900.080078,9011.759766,8867.379883,8974.389648,8974.389648,0
2017-01-18,8974.389648,9019.240234,8887.200195,8895.469727,8895.469727,0
2017-01-19,8894.570313,8933.919922,8850.410156,8891.990234,8891.990234,0
2017-01-20,8891.990234,9001.070313,8891.990234,8974.389648,8974.389648,0
2017-01-23,8973.459961,9093.070313,8969.389648,9084.179688,9084.179688,0
2017-01-24,9085.190430,9130.080078,9061.660156,9097.099609,9097.099609,0
2017-01-26,9097.669922,9189.080078,9097.669922,9134.030273,9134.030273,0
2017-01-27,9133.740234,9133.740234,9084.259766,9108.139648,9108.139648,0
2017-01-30,9107.490234,9107.490234,8890.059570,8918.969727,8918.969727,0
2017-01-31,8919.330078,8973.070313,8908.849609,8951.700195,8951.700195,0
2017-02-01,8951.660156,9033.440430,8896.509766,8916.379883,8916.379883,0
2017-02-02,8916.009766,9040.490234,8884.500000,8996.419922,8996.419922,0
2017-02-03,8996.780273,9118.690430,8986.639648,9051.950195,9051.950195,0
2017-02-06,9053.179688,9092.030273,8923.769531,8927.839844,8927.839844,0
2017-02-07,8927.910156,8993.030273,8890.099609,8935.730469,8935.730469,0
2017-02-08,8936.059570,8968.759766,8882.879883,8962.230469,8962.230469,0
2017-02-09,8962.259766,9000.379883,8916.139648,8977.919922,8977.919922,0
2017-02-10,8977.919922,9116.139648,8966.099609,9096.269531,9096.269531,0
2017-02-13,9096.320313,9191.570313,9096.320313,9175.910156,9175.910156,0
2017-02-14,9176.830078,9206.139648,9087.599609,9158.070313,9158.070313,0
2017-02-15,9157.860352,9336.540039,9157.860352,9315.309570,9315.309570,0
2017-02-16,9315.330078,9347.250000,9281.259766,9304.059570,9304.059570,0
2017-02-17,9304.059570,9304.929688,9229.480469,9294.559570,9294.559570,0
2017-02-20,9297.230469,9380.639648,9297.230469,9343.679688,9343.679688,0
2017-02-21,9344.919922,9395.400391,9327.870117,9377.690430,9377.690430,0
2017-02-22,9377.690430,9377.690430,9256.169922,9278.599609,9278.599609,0
2017-02-23,9279.820313,9378.599609,9132.290039,9165.320313,9165.320313,0
2017-02-24,9164.750000,9164.750000,9034.320313,9089.049805,9089.049805,0
2017-03-01,9089.500000,9162.740234,9089.500000,9124.320313,9124.320313,0
2017-03-02,9124.309570,9130.570313,9015.349609,9057.660156,9057.660156,0
2017-03-03,9059.540039,9156.250000,9033.049805,9152.570313,9152.570313,0
2017-03-06,9152.730469,9208.719727,9112.889648,9131.339844,9131.339844,0
2017-03-07,9131.469727,9164.370117,9077.669922,9080.719727,9080.719727,0
2017-03-08,9082.580078,9093.179688,8924.849609,8974.839844,8974.839844,0
2017-03-09,8974.839844,9015.059570,8915.419922,8935.309570,8935.309570,0
2017-03-10,8935.540039,9073.480469,8935.540039,9028.410156,9028.410156,0
2017-03-13,9028.750000,9134.179688,9028.750000,9118.000000,9118.000000,0
2017-03-14,9117.019531,9117.019531,8988.049805,8996.730469,8996.730469,0
2017-03-15,8996.839844,9187.219727,8959.620117,9162.429688,9162.429688,0
2017-03-16,9162.580078,9248.849609,9162.389648,9212.889648,9212.889648,0
2017-03-17,9213.110352,9266.209961,8977.679688,9015.110352,9015.110352,0
2017-03-20,9008.589844,9097.980469,8910.900391,9052.250000,9052.250000,0
2017-03-21,9052.129883,9063.209961,8835.620117,8854.009766,8854.009766,0
2017-03-22,8853.769531,8859.030273,8712.730469,8857.209961,8857.209961,0
2017-03-23,8857.209961,8936.070313,8791.150391,8889.230469,8889.230469,0
2017-03-24,8888.690430,8959.690430,8881.570313,8935.429688,8935.429688,0
2017-03-27,8935.179688,8969.870117,8883.089844,8954.790039,8954.790039,0
2017-03-28,8954.790039,9051.200195,8944.429688,9016.269531,9016.269531,0
2017-03-29,9015.660156,9084.179688,8983.469727,9081.860352,9081.860352,0
2017-03-30,9081.889648,9115.780273,9006.700195,9048.429688,9048.429688,0
2017-03-31,9048.519531,9107.040039,9015.759766,9055.040039,9055.040039,0
2017-04-03,9055.040039,9079.230469,9013.780273,9068.160156,9068.160156,0
